,rounds,team_one,team_two,team_one_score,team_two_score,referee,venue,team_one_penalties,team_two_penalties,team_one_reds,team_two_reds,team_one_yellows,team_two_yellows
38,Round 12,Brumbies,Blues,26,21,Damon Murphy,GIO Stadium,9,15,0,0,0,2
39,Round 1 ,NSW Waratahs,Hurricanes,19,20,Angus Gardner,Brookvale Oval,14,12,0,0,0,0
40,Round 12,Reds,Sunwolves,32,26,Angus Gardner,Suncorp Stadium,11,17,1,1,0,4
41,Round 15,Brumbies,Bulls,22,10,Jaco Peyper,GIO Stadium,11,10,0,0,1,0
42,Round 8,Rebels,Sunwolves,42,15,Nic Berry,AAMI Park,16,6,0,0,2,1
43,Round 2,Highlanders,Reds,36,31,Federico Anselmi,Forsyth Barr Stadium,6,8,0,0,0,0
44,Round 16,Sharks,Hurricanes,17,30,Nic Berry,Jonsson Kings Park,9,8,0,1,0,0
45,Round 13,Chiefs,Sharks,29,23,Nic Berry,FMG Stadium Waikato,8,6,0,0,1,0
46,Round 14,Hurricanes,Jaguares,20,28,Brendon Pickerill,Westpac Stadium,7,13,0,0,1,0
47,Round 10,Stormers,Brumbies,17,19,Nick Briant,DHL Newlands,8,12,0,0,0,1
48,Round 2,Sharks,Blues,26,7,Paul Williams,Jonsson Kings Park,11,9,0,0,1,0
49,Round 10,Highlanders,Blues,24,12,Paul Williams,Forsyth Barr Stadium,7,8,0,0,0,0
50,Round 12,Crusaders,Sharks,21,21,Brendon Pickerill,Christchurch Stadium,13,10,0,0,0,0
51,Round 6,Reds,Brumbies,36,14,Paul Williams,Suncorp Stadium,10,7,0,0,0,0
52,Round 2,Stormers,Lions,19,17,Egon Seconds,DHL Newlands,13,15,0,0,1,1
53,Round 7,Blues,Stormers,24,9,Nick Briant,Eden Park,12,7,1,0,0,0
54,Round 7,Jaguares,Chiefs,27,30,Angus Gardner,Estadio Jose Amalfitani,9,10,0,0,1,0
55,Round 9,Sharks,Jaguares,17,51,Nick Briant,Jonsson Kings Park,11,5,0,0,0,0
56,Round 4,NSW Waratahs,Reds,28,17,Glen Jackson,Sydney Cricket Ground,14,10,0,0,0,1
57,Round 3,Sharks,Stormers,11,16,Jaco Peyper,Jonsson Kings Park,12,7,0,0,2,1
58,Round 5,Stormers,Jaguares,35,8,Jaco Peyper,DHL Newlands,6,9,0,0,0,0
59,Round 14,Reds,NSW Waratahs,32,40,Ben O'keeffe,Suncorp Stadium,7,3,0,0,0,0
60,Round 6,Bulls,Chiefs,20,56,AJ Jacobs,Loftus Versfeld,9,4,0,0,0,1
